feed_rate,grinder_type,duty_cycle,unit_cost,score
375.778,2.0,0.3462107,57.642174,0.016986
320.4864,0.0,1.0,140.71759,-8.947834e-06
182.01707,0.0,1.0,140.69371,-3.539601e-05
59.21698,0.0,1.0,144.28252,-3.4515586e-05
176.2385,2.0,0.81725657,141.01709,-5.6632052e-05
62.87037,2.0,0.69040674,144.60086,-2.0398778e-05
98.176956,1.0,1.0,142.68086,-3.4272263e-05
137.33516,2.0,0.82544357,142.77649,-5.566014e-05
195.84775,1.0,1.0,140.82678,-3.4723478e-05
151.41241,1.0,1.0,141.37373,-3.458914e-05
283.93573,1.0,1.0,140.2486,-3.486621e-05
177.84894,0.0,1.0,142.17632,-3.4745557e-05
251.81177,1.0,1.0,141.88766,-3.4181936e-05
307.7994,0.0,1.0,141.18631,-4.5681696e-05
185.83537,0.0,1.0,142.10503,-3.4762987e-05
368.5557,2.0,0.24512467,59.118603,0.016494809
458.65158,0.0,1.0,67.288414,0.012860678
385.7862,0.0,1.0,117.08192,0.0022598996
394.33075,2.0,0.4734346,57.675003,0.01697633
410.44644,2.0,0.6325935,139.91644,-3.522681e-05
350.61902,0.0,1.0,136.72337,0.00033580122
461.86777,0.0,1.0,67.87145,0.012863014
97.348785,0.0,1.0,142.19888,-3.502134e-05
151.72235,0.0,1.0,141.03926,-3.5309287e-05
368.17636,0.0,1.0,128.62985,0.0009746629
66.35992,0.0,1.0,143.70993,-3.4653105e-05
257.7338,2.0,0.83806074,142.10469,-2.0752395e-05
309.06195,0.0,1.0,139.664,-4.3886612e-05
482.5157,2.0,0.46321014,57.584087,0.017003134
72.43689,0.0,1.0,143.3117,-3.4749395e-05
427.7057,1.0,1.0,139.08133,-7.744505e-06
144.67758,0.0,1.0,141.14035,-3.5283996e-05
220.1497,1.0,1.0,142.0847,-3.4134537e-05
498.95764,0.0,1.0,60.26336,0.015758917
162.34625,2.0,0.9738745,142.70273,-2.0672325e-05
481.3143,2.0,0.3328754,57.525955,0.017020317
287.22302,1.0,1.0,141.71873,-3.4222277e-05
105.958885,1.0,1.0,142.40784,-3.433797e-05
106.18107,2.0,0.2093224,60.473503,0.016125245
377.291,0.0,1.0,123.275986,0.0015403341
472.64923,1.0,1.0,134.02863,0.00043663432
58.291172,0.0,1.0,145.5784,-3.393357e-05
217.8854,2.0,0.26849452,59.486477,0.016392801
424.49332,0.0,1.0,84.30082,0.007832008
233.71262,0.0,1.0,140.31071,-3.5484587e-05
