feed_rate,grinder_type,duty_cycle,unit_cost,protein_damage,score
473.4478,0.0,1.0,58.873737,0.0,0.016985502
431.07065,0.0,1.0,57.180973,0.0,0.017488334
421.33694,1.0,1.0,79.26955,0.12,0.012615185
144.13348,2.0,0.4879037,72.86609,0.0,0.013723805
374.17386,2.0,0.063895516,69.548454,0.0,0.014378464
317.337,0.0,1.0,57.444717,0.0,0.017408041
111.069824,2.0,0.41197202,73.95267,0.0,0.013522163
170.73112,1.0,1.0,80.663994,0.12,0.012397105
173.25543,1.0,1.0,78.64407,0.12,0.012715516
295.0995,1.0,1.0,79.67594,0.12,0.01255084
212.27122,2.0,0.4044594,71.08365,0.0,0.014067932
203.5749,1.0,1.0,78.28152,0.12,0.012774408
293.44952,0.0,1.0,59.260166,0.0,0.016874742
146.1355,2.0,0.05449098,81.16722,0.0,0.012320244
57.035027,2.0,0.12827991,75.620514,0.0,0.013223926
66.44276,2.0,0.23982406,75.71779,0.0,0.0132069355
407.9813,1.0,1.0,77.24347,0.12,0.012946079
100.95343,0.0,1.0,59.5873,0.0,0.0167821
281.77576,2.0,0.3627319,66.2982,0.0,0.015083365
407.94073,0.0,1.0,58.9749,0.0,0.016956367
119.19459,2.0,0.4162125,64.7996,0.0,0.015432194
71.156586,1.0,1.0,83.944756,0.12,0.011912596
55.13287,1.0,1.0,83.85987,0.12,0.011924655
189.23178,1.0,1.0,80.43479,0.12,0.012432431
412.81738,2.0,0.42716604,72.382034,0.0,0.013815583
402.27274,2.0,0.4647616,72.85525,0.0,0.013725847
363.3706,1.0,1.0,77.37039,0.12,0.012924841
156.39761,2.0,0.32799846,73.9237,0.0,0.013527461
424.25986,2.0,0.055741757,70.998344,0.0,0.014084836
220.56255,0.0,1.0,57.883316,0.0,0.017276136
206.95316,2.0,0.2426879,70.13753,0.0,0.014257703
300.70233,1.0,1.0,79.65067,0.12,0.012554822
127.6665,2.0,0.23785286,75.982544,0.0,0.013160918
252.47101,2.0,0.32873827,70.37235,0.0,0.014210126
460.33237,1.0,1.0,79.18907,0.12,0.012628005
137.45438,1.0,1.0,81.231575,0.12,0.0123104835
61.524673,2.0,0.10497995,74.240166,0.0,0.013469798
493.0649,0.0,1.0,58.84867,0.0,0.016992738
55.121136,2.0,0.30802357,73.741646,0.0,0.013560859
51.091076,1.0,1.0,84.46507,0.12,0.011839213
74.36217,0.0,1.0,60.71093,0.0,0.0164715
391.26492,2.0,0.3027139,75.63961,0.0,0.013220587
64.17892,0.0,1.0,61.387794,0.0,0.016289882
116.76359,1.0,1.0,79.8219,0.12,0.01252789
219.61899,2.0,0.106294826,69.06648,0.0,0.014478803
329.0856,2.0,0.236015,69.05501,0.0,0.014481209
358.09973,2.0,0.48316327,69.23616,0.0,0.01444332
189.7848,1.0,1.0,80.42863,0.12,0.012433384
306.05374,1.0,1.0,79.627396,0.12,0.012558492
108.205215,2.0,0.4554989,71.03043,0.0,0.014078472
370.39975,1.0,1.0,77.34836,0.12,0.012928522
295.48105,1.0,1.0,79.67419,0.12,0.012551116
484.40695,1.0,1.0,79.14587,0.12,0.012634899
160.35555,0.0,1.0,60.103786,0.0,0.016637886
433.19553,2.0,0.11629325,75.01251,0.0,0.01333111
117.84079,0.0,1.0,60.774868,0.0,0.01645417
409.28708,0.0,1.0,57.22014,0.0,0.017476365
283.44998,0.0,1.0,57.564217,0.0,0.017371904
299.36456,0.0,1.0,57.504726,0.0,0.017389875
97.60791,2.0,0.1325806,77.65195,0.0,0.012877977
210.41235,0.0,1.0,57.952686,0.0,0.017255455
255.03735,2.0,0.30601883,71.85517,0.0,0.013916883
100.32089,1.0,1.0,80.41395,0.12,0.012435653
294.27838,2.0,0.41584185,71.62587,0.0,0.013961436
331.27728,2.0,0.33010414,74.79811,0.0,0.013369322
78.197075,1.0,1.0,81.60344,0.12,0.012254385
196.92284,0.0,1.0,59.758392,0.0,0.01673405
134.53351,0.0,1.0,58.802994,0.0,0.017005937
337.48672,1.0,1.0,79.505585,0.12,0.012577733
225.41011,2.0,0.23585509,69.86264,0.0,0.014313802
133.12643,2.0,0.23115128,73.556656,0.0,0.013594963
286.96796,2.0,0.47595996,66.38098,0.0,0.015064555
464.7053,2.0,0.06559104,77.05426,0.0,0.012977868
131.9044,0.0,1.0,60.50499,0.0,0.016527561
358.32562,2.0,0.08225079,68.3876,0.0,0.014622533
271.35468,0.0,1.0,57.614105,0.0,0.017356861
337.79428,0.0,1.0,57.38417,0.0,0.017426409
162.03616,0.0,1.0,58.40278,0.0,0.017122472
197.01071,0.0,1.0,58.05524,0.0,0.017224975
228.90625,0.0,1.0,57.83089,0.0,0.017291797
294.8944,0.0,1.0,57.520786,0.0,0.017385019
220.99174,1.0,1.0,80.13079,0.12,0.012479597
85.99631,0.0,1.0,60.133823,0.0,0.016629577
314.56918,0.0,1.0,57.453503,0.0,0.01740538
163.48523,0.0,1.0,58.385433,0.0,0.01712756
